x,swabID,surno,year,PITtag,Nruns,useCorrected,Zoospores,Site_name,date_collected,Julian,SVL,sex,Weight,water_temp
2030,MTS8021,15,2008,62049324,1,0,24.56,MonoPass,10/8/08,39729,65.3,F,33,9
688,CBS630,5,2005,62054336,1,0,64.2364,MonoPass,9/4/05,38599,59.5,M,26,NA
792,CBS724,6,2005,62054336,1,0,624.8536,MonoPass,10/2/05,38627,60.5,M,25,8
423,CBS352,3,2004,62059127,1,1,0.461567927,MonoPass,9/12/04,38242,54.5,NA,17,NA
684,CBS626,5,2005,62078814,1,0,0,MonoPass,9/4/05,38599,53.8,M,19,NA
1803,CBS8083,13,2008,62078814,1,0,0,MonoPass,7/8/08,39637,57.5,M,18.5,20.5
682,CBS624,5,2005,62098060,3,0,0,MonoPass,9/3/05,38598,68.8,F,38,NA
1047,CBS6104,8,2006,62098060,3,0,1.131890667,MonoPass,8/20/06,38949,69.1,F,46,NA
1295,CBS6283,9,2006,62098060,3,0,15.78370667,MonoPass,9/22/06,38982,71.9,F,40,9
1534,CBS7162,11,2007,62098060,1,0,0,MonoPass,8/29/07,39323,71.9,F,NA,NA
1743,LGS8001,13,2008,62098060,1,0,12.856,MonoPass,6/17/08,39616,67.2,F,NA,16
698,CBS640,5,2005,62117837,1,0,0,MonoPass,9/4/05,38599,53.2,M,18,NA
756,CBS698,5,2005,62281281,3,0,13.25976,MonoPass,9/25/05,38620,70,F,35,10
1268,CBS6256,9,2006,62281281,3,0,48.67610667,MonoPass,9/22/06,38982,71.5,F,48,10.5
88,CBS083,1,2004,62288351,3,0,0,MonoPass,7/13/04,38181,52.4,M,13.5,24
454,CBS383,3,2004,62291014,1,0,0,MonoPass,9/12/04,38242,58.9,M,18.5,NA
2053,MTS8044,15,2008,62291014,2,0,118.768,MonoPass,10/8/08,39729,59.9,M,27.5,9
800,CBS732,6,2005,62513855,3,0,23.89349333,MonoPass,10/2/05,38627,63.5,F,31,8
1300,CBS6288,9,2006,62513855,3,0,115.00968,MonoPass,9/22/06,38982,70.7,F,36,9
2013,MTS8004,15,2008,62513855,0,0,0,MonoPass,10/8/08,39729,67.7,F,41.1,9
764,CBS706,5,2005,62516781,1,0,48.78448,MonoPass,9/25/05,38620,52.8,M,18,10
480,CBS409,3,2004,62518334,4,0,6.839324,MonoPass,9/12/04,38242,58,F,13,NA
744,CBS686,5,2005,62518334,3,0,0,MonoPass,9/25/05,38620,56.6,F,17,10
1297,CBS6285,9,2006,62518334,3,0,0.00568272,MonoPass,9/22/06,38982,59.6,F,19,9
2015,MTS8006,15,2008,62518334,1,0,3.624,MonoPass,10/8/08,39729,56.5,F,21.5,9
731,CBS673,5,2005,62526589,2,0,0,MonoPass,9/25/05,38620,64.9,F,27.5,9
1587,NM5,12,2007,62526589,1,0,30.46792,MonoPass,9/17/07,39342,63.3,F,NA,NA
642,JMS025,4,2005,62536348,1,0,32.33056,MonoPass,7/31/05,38564,64.7,F,30,NA
741,CBS683,5,2005,62536348,2,0,244.6028,MonoPass,9/25/05,38620,69.3,F,34,10
1382,CBS7007,10,2007,62536348,1,0,34.7844,MonoPass,6/25/07,39258,68.6,F,32,18
1619,CBS7213,12,2007,62536348,1,0,0.4601392,MonoPass,9/28/07,39353,68.5,F,NA,10
1313,CBS6301,9,2006,62539823,1,0,7.551616,MonoPass,9/22/06,38982,65,F,32,8.5
1542,CBS7170,11,2007,62539823,1,0,0,MonoPass,8/29/07,39323,66.3,F,NA,NA
1922,CBS8202,14,2008,62539823,1,0,1.432,MonoPass,8/21/08,39681,65.5,F,NA,22.6
477,CBS406,3,2004,62540608,3,0,13.72773867,MonoPass,9/12/04,38242,66.6,F,31,NA
742,CBS684,5,2005,62540608,3,1,3.494391688,MonoPass,9/25/05,38620,67.6,F,35,10
87,CBS082,1,2004,62578558,3,0,6.759085333,MonoPass,7/13/04,38181,63.8,F,24.5,24
226,CBS185,2,2004,62578558,3,1,14.67494344,MonoPass,8/8/04,38207,66.3,F,27,20
1078,CBS6135,8,2006,62578558,3,0,134.7301067,MonoPass,8/21/06,38950,65.6,F,37,NA
