year,site,date,id,species,,,
2017,CCSP,4/27/17,S968,PEMA,,,
2017,CCSP,4/27/17,S969,NEFU,,,
2017,CCSP,4/27/17,S970,PEMA,,,
2017,CCSP,4/27/17,S971,PEMA,,,
2017,CCSP,4/27/17,S972,PETR,,,
2017,CCSP,4/27/17,S973,NEFU,,,
2017,CCSP,4/27/17,S974,PEMA,,,
2017,CCSP,4/28/17,S975,PEMA,,,
2017,CCSP,4/28/17,S979,PEMA,,,
2017,CCSP,4/28/17,S982,PEMA,,,
2017,CCSP,4/28/17,S987,PEMA,,,
2017,CCSP,4/28/17,S988,NEFU,,,
2017,CCSP,4/28/17,S989,PETR,,,
2017,CCSP,4/28/17,S990,PEMA,,,
2017,CCSP,4/28/17,NA,SHREW,,,
2017,CCSP,4/29/17,2354,PEMA,,,
2017,CCSP,4/29/17,2355,PEMA,,,
2017,CCSP,4/29/17,2356,PEMA,,,
2017,CCSP,4/29/17,2357,PEMA,,,
2017,CCSP,4/29/17,2358,NEFU,,,
2017,CCSP,4/29/17,2360,PEMA,,,
2017,CCSP,4/29/17,2361,PEMA,,,
2017,CCSP,4/29/17,2362,PEMA,,,
2017,CCSP,4/29/17,S991,PEMA,,,
2017,CCSP,4/29/17,S992,PEMA,,,
2017,CCSP,4/29/17,S993,NEFU,,,
2017,CCSP,4/29/17,S994,PEMA,,,
2017,CCSP,4/29/17,S995,NEFU,,,
2017,SLRP,5/14/17,2838,NEFU,,,
2017,SLRP,5/14/17,2876,PETR,,,
2017,SLRP,5/15/17,2851,PETR,,,
2017,SLRP,5/15/17,2852,PETR,,,
2017,SLRP,5/15/17,2853,PETR,,,
2017,SLRP,5/15/17,2854,PETR,,,
2017,SLRP,5/16/17,2855,PETR,,,
2017,SLRP,5/16/17,2856,NEFU,,,
2018,SMI,4/15/18,A296,MICA,,,
2018,WP,5/7/18,2349,NEFU,,,
2018,WP,5/7/18,3226,PECA,,,
2018,WP,5/7/18,3250,PECA,,,
2018,WP,5/7/18,A256,NEFU,,,
2018,WP,5/7/18,A312,PECA,,,
2018,WP,5/7/18,A37,PECA,,,
2018,WP,5/7/18,A38,SCNI,,,
2018,WP,5/7/18,A40,NEFU,,,
2018,WP,5/7/18,A41,NEFU,,,
2018,WP,5/7/18,A42,SCNI,,,
2018,WP,5/7/18,A45,SCNI,,,
2018,WP,5/7/18,A569,NEFU,,,
2018,WP,5/7/18,A570,PECA,,,
2018,WP,5/7/18,A060,MICA,,,
2018,WP,5/7/18,A061,REME,,,
2018,WP,5/7/18,A062,NEFU,,,
2018,WP,5/7/18,A063,NEFU,,,
2018,WP,5/7/18,A069,NEFU,,,
2018,WP,5/7/18,NA,BIRD,,,
2018,WP,5/7/18,NA,BIRD,,,
2018,WP,5/7/18,NA,SCNI,,,
2018,JSCP,4/9/18,2332,PETR,,,
2018,JSCP,4/9/18,2335,NEFU,,,
2018,JSCP,4/9/18,2365,PETR,,,
2018,JSCP,4/9/18,2378,PETR,,,
2018,JSCP,4/9/18,2385,PETR,,,
2018,JSCP,4/9/18,2386,PETR,,,
2018,JSCP,4/9/18,2387,PETR,,,
2018,JSCP,4/9/18,2388,NEFU,,,
2018,JSCP,4/9/18,2391,PETR,,,
2018,JSCP,4/9/18,2393,NEFU,,,
2018,JSCP,4/9/18,2396,PETR,,,
2018,JSCP,4/9/18,2833,NEFU,,,
2018,JSCP,4/9/18,A186,PETR,,,
2018,JSCP,4/9/18,A187,PETR,,,
2018,JSCP,4/9/18,A188,PETR,,,
2018,JSCP,4/9/18,A189,PETR,,,
2018,JSCP,4/9/18,A190,PETR,,,
2018,JSCP,4/9/18,A191,PETR,,,
2018,JSCP,4/9/18,A192,PETR,,,
2018,JSCP,4/9/18,A193,PETR,,,
2018,JSCP,4/9/18,A195,PETR,,,
2018,JSCP,4/9/18,A196,NEFU,,,
2018,JSCP,4/9/18,A197,PETR,,,
2018,JSCP,4/9/18,A198,PETR,,,
2018,JSCP,4/9/18,A199,PETR,,,
2018,JSCP,4/9/18,A267,PETR,,,
2018,JSCP,4/9/18,A268,NEFU,,,
2018,JSCP,4/9/18,A269,NEFU,,,
2018,JSCP,4/9/18,A801,NEFU,,,
2018,JSCP,4/9/18,A803,PETR,,,
2018,JSCP,4/9/18,A804,PETR,,,
2018,JSCP,4/9/18,A805,PETR,,,
2018,JSCP,4/9/18,A806,PETR,,,
2018,JSCP,4/9/18,A808,NEFU,,,
2018,JSCP,4/9/18,A809,PETR,,,
2018,JSCP,4/9/18,A810,PETR,,,
2018,JSCP,4/9/18,A811,PETR,,,
2018,JSCP,4/9/18,A812,PETR,,,
2018,JSCP,4/9/18,A813,PETR,,,
2018,JSCP,4/9/18,A814,PETR,,,
2018,JSCP,4/9/18,A851,PETR,,,
2018,JSCP,4/9/18,A852,PETR,,,
2018,JSCP,4/9/18,A853,PETR,,,
2018,JSCP,4/9/18,A854,PETR,,,
2018,JSCP,4/9/18,A855,PETR,,,
2018,JSCP,4/9/18,A856,PETR,,,
2018,JSCP,4/9/18,A857,NEFU,,,
2018,JSCP,4/9/18,A858,PETR,,,
2018,JSCP,4/9/18,A859,PETR,,,
2018,JSCP,4/9/18,A860,PETR,,,
2018,JSCP,4/9/18,A861,NEFU,,,
2018,JSCP,4/9/18,A862,PETR,,,
2018,JSCP,4/9/18,NA,NEFU,,,
2018,JSCP,4/9/18,S?83,NEFU,,,
2018,JSCP,4/9/18,S797,NEFU,,,
2018,JSCP,4/9/18,S802,PETR,,,
2018,JSCP,4/9/18,S808,PETR,,,
2018,JSCP,4/9/18,S821,NEFU,,,
2018,JSCP,4/9/18,S951,PETR,,,
2018,JSCP,4/9/18,S997,PETR,,,
2018,WDLP,4/8/18,2326,PECA,,,
2018,WDLP,4/8/18,2370,PECA,,,
2018,WDLP,4/8/18,2352/2353,NEFU,,,
